state,regional,gender,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,"85up"
ACT,FALSE,M,13797,12353,10884,11733,16560,16989,16366,14217,14109,12341,12084,10522,9155,7751,5062,3623,2311,2016
SA,FALSE,M,40366,38678,37627,41652,48238,48386,45423,41127,44681,43284,43270,39579,35103,31325,22285,17161,12343,11296
QLD,FALSE,M,79712,77850,72093,77139,90878,91317,87072,77908,82602,73658,71359,62629,55009,48241,33103,22556,14680,12579
NT,FALSE,M,5208,4472,4271,4789,6278,7653,6843,5686,5752,4928,4792,4011,3424,2662,1545,797,383,231
TAS,FALSE,M,7147,7088,6764,7322,7842,7339,6741,6407,7071,6790,7672,7332,6588,5621,4158,2933,2084,1623
VIC,FALSE,M,148447,137319,126999,136287,173111,186985,181657,157981,160594,145571,138358,122655,104038,91735,66803,49799,34983,30220
WA,FALSE,M,68481,65161,60210,66814,78638,90220,83083,70725,72950,66392,63968,56241,49541,42306,30071,21510,13976,11537
NSW,FALSE,M,166995,155583,143482,150882,178698,194245,196632,174180,174365,155351,155261,137151,117558,103177,73773,53046,36922,32233
NSW,TRUE,M,82858,88247,87365,89520,83581,76131,73454,73129,85459,82902,93006,91263,85117,79752,60376,45016,30363,24759
NT,TRUE,M,4606,4774,4412,4108,4412,5249,5064,4054,4018,3443,3315,3023,2275,1524,832,399,215,134
QLD,TRUE,M,82786,85390,82489,81336,79303,79378,78393,75055,85986,80108,83785,76654,70351,64346,47358,32525,20881,16403
SA,TRUE,M,11593,12144,12212,11961,10578,10516,10600,10409,12314,12913,14179,13969,13544,12586,9346,6637,4539,3676
TAS,TRUE,M,8793,9600,9475,10207,8620,7445,7584,7884,9685,9787,10880,10754,10259,9588,7071,4797,3114,2420
VIC,TRUE,M,44265,46363,45048,47615,41160,38359,38144,38973,44767,44983,48866,48421,45922,41881,30967,22869,15523,12870
WA,TRUE,M,19400,19338,18082,16779,17380,22825,22399,20401,22399,21114,20805,19188,15676,12849,8625,5946,3709,2900
ACT,FALSE,F,13073,11444,10585,11230,15665,17009,16196,13974,14178,12757,12522,11216,9688,8233,5606,4123,3040,3584
SA,FALSE,F,38250,37174,35730,40160,46780,46600,44869,41098,45309,44236,45145,42243,38220,34127,24884,20401,16556,21025
QLD,FALSE,F,75515,73193,68533,73962,88619,91017,86760,79329,84461,75070,73586,64718,57467,49104,34691,25198,19638,23314
NT,FALSE,F,5122,4489,4392,4085,4851,6361,6037,5297,5194,4731,4482,3846,3028,2084,1243,689,392,338
TAS,FALSE,F,6644,6536,6284,6896,7123,6955,6897,6602,7515,7181,7964,7638,6937,5938,4401,3329,2816,3065
VIC,FALSE,F,140630,131302,121363,129942,167365,187188,181462,158650,165632,150029,143674,129217,112005,98104,72713,58125,46381,53004
WA,FALSE,F,65762,61836,57898,62985,74668,83861,78444,69135,72346,67219,65832,58786,51499,43284,31391,24570,18763,21100
NSW,FALSE,F,157624,146965,135403,142377,172882,196110,197387,175291,178692,159369,159229,143036,123316,106813,77829,60907,48480,59384
NSW,TRUE,F,78316,83473,82567,84496,78264,73244,74150,75555,88192,85015,95412,91848,84758,78736,61733,48771,38133,42883
NT,TRUE,F,4202,4195,3904,3500,3908,4660,4324,3612,3652,3052,2899,2588,1763,1096,709,347,256,169
QLD,TRUE,F,78967,80490,77844,77477,77060,79648,79556,77081,87437,82133,85590,77744,69151,62861,46762,33693,24862,27004
SA,TRUE,F,10612,11424,11508,11004,8901,10002,10255,10102,12080,12385,13618,13202,12793,12060,9113,6886,5281,6141
TAS,TRUE,F,8400,8949,8927,9396,7771,7734,8010,8078,9924,10113,11123,10647,9974,9208,6732,5021,3683,3866
VIC,TRUE,F,41739,43013,42786,44104,38224,38294,39020,40122,46978,46358,50263,48617,45695,41514,31558,24257,19549,22252
WA,TRUE,F,18068,19169,17857,15207,14682,19232,18850,18010,19174,18102,18291,16859,13960,11479,8430,6081,4425,4495